Community_ID,Size,Avg_Papers,Top_Authors
0,39,7.358974358974359,", D5-3, G5-4, PH1-15, D5-2"
1,1,1.0,から構築される日本語音声コーパス
3,4,1.5,"F5-2, C4-3, E4-1, B5-1"
4,3,1.6666666666666667,"B4-5, F6-5, F8-3"
6,2,1.0,"C6-5, PT4-12"
8,2,1.0,"E4-5, G2-2"
9,2,2.0,"C8-3, C8-2○"
10,2,2.0,"PH3-4, PH2-16"
12,1,1.0,D8-4
13,2,1.0,"PH4-1, PT1-16"
14,1,1.0,を使った効率化
15,2,1.0,"田川拓海 (筑波大), 金丸敏幸 (京大)"
16,2,1.0,"PT3-3○, PH3-1"
17,2,1.0,"PT2-6, B6-1"
18,1,1.0,G5-3
20,1,1.0,Linking
21,2,1.0,"B4-2, B4-3"
23,4,1.0,"Labs), 水本智也 (フューチャー/理研), 乾健太郎, 鈴木潤"
24,1,1.0,A6-1
25,2,1.5,"E5-3, B5-5"
26,1,1.0,E7-4
27,1,1.0,(東北大/理研)
28,2,1.0,"E2-2, C4-5"
29,1,1.0,データの削除による識別精度の改善
30,2,1.0,"C6-3, F5-3"
32,3,1.3333333333333333,"C6-2, PT4-17, B5-2"
33,2,2.0,"PT4-5, A5-3"
34,1,1.0,イベント選択器と文生成器の同時学習
35,3,1.3333333333333333,"A5-5, B7-3, PT3-4○"
36,2,1.0,"PH4-7, E6-5"
37,2,1.0,"PT4-10, F7-2"
38,2,1.0,"C7-3, PT3-14"
39,3,1.3333333333333333,"E2-4, C3-5, C3-5○"
40,1,1.0,D7-3○
42,1,1.0,Estimation
43,3,1.6666666666666667,"PT2-5, PH1-3, E5-1○"
44,1,3.0,PH4-6
45,2,1.0,"PT2-4○, D3-5"
47,1,1.0,による系列確率に基づく文法誤り検出
48,2,1.0,"渡邊友香 (国語研), 西川賢哉"
49,2,1.0,"F4-2, PH3-14"
50,1,1.0,構文の定着過程の説明
51,2,1.0,"F2-4, F4-3"
52,2,1.0,"奥村学 (東工大), (産総研)"
53,1,1.0,(お茶大)
54,1,2.0,F8-4
55,1,1.0,Interaction-
56,1,1.0,Features
57,1,1.0,D7-3
58,1,1.0,森信介 (京大)
59,2,1.0,"E6-2, E5-4"
60,1,1.0,E8-1
61,2,1.0,"PH2-2, PT2-2"
62,2,1.0,"G7-3, D6-5"
64,1,1.0,永田亮 (甲南大)
65,1,1.0,PT3-6
67,2,1.5,"PT4-3, PH3-11"
68,4,2.0,"PH3-10, PH3-8, PT4-8, G4-1"
69,1,1.0,スケジュール
71,1,1.0,D8-2
72,2,1.0,"松本裕治 (理研), 渡辺太郎 (NAIST)"
73,1,1.0,現在の類型と課題
74,1,1.0,(2021年版)
75,2,1.0,"PH4-8, PT3-5"
76,1,1.0,とルールベースの比較
77,1,3.0,E7-3
79,1,1.0,PT4-4
81,1,1.0,G8-4
82,2,1.0,"PT2-14, PT3-15"
83,1,1.0,C8-3○
84,2,2.0,"B2-5, F3-1"
85,2,1.0,"PH3-7, F2-5"
86,1,1.0,Pre-training
87,1,1.0,PH2-15○
88,2,2.0,"A7-1, PT4-7"
89,1,1.0,における相対的意味論による訳文選択
90,1,1.0,C8-1
91,1,1.0,システム構築フレームワーク
92,1,1.0,Classification
93,2,1.0,"PT1-8, PT1-13"
94,1,1.0,の再帰的構造把握能力の調査
95,1,1.0,PT4-13
2,1,1.0,クロージングZoom
66,2,1.0,"A8-2, A6-4"
5,1,1.0,G8-3
70,1,1.0,PH4-16
7,1,1.0,Augmentation 手法の提案
41,1,1.0,A4-5
11,1,1.0,Dialogue Corpus
46,2,2.0,"E6-1, PH4-12"
78,1,1.0,における専門用語処理
80,1,1.0,を用いた正則化手法
19,1,1.0,画像分類
22,1,1.0,which疑問文の節埋め込みの分析
63,1,2.0,F3-3
31,1,2.0,A8-1
